device,cpu_mae,cpu_mse,cpu_smape,mem_mae,mem_mse,mem_smape
0,2.2083315146759026,23.345344376736072,0.06846219700930706,0.7261456140642254,0.943919024142776,0.015620161561345861
1,2.7852923582819797,33.69858767308597,0.07262085129395945,0.9486954872854734,1.5496312059965105,0.019779900677420102
2,2.702216197897803,32.93642870530259,0.07093012836496843,0.8570586649575932,1.0991573267183337,0.018356010959308472
3,2.9155502173038523,33.18341321289988,0.07528038143928437,1.003152058066688,1.6553560281172206,0.021161544913043537
4,2.632222131219019,11.515034401450155,0.20107508600212876,8.876922361725384,99.75659413724374,0.09253508429940843
5,2.6175622160030505,11.2753281358835,0.21431757028272186,8.672289266868772,92.99496904514994,0.09189467368054287
6,0.8045132668853633,4.273302817830736,0.019730085537307724,8.39769069436979,72.38842854745391,0.10399096045197215
7,2.2076756644643036,12.853507219924161,0.10915755789465806,11.957116243780419,143.83948157951906,0.1549589610890867
8,1.5530439310478217,26.352276767359843,0.07044064947702648,10.383179612525895,109.91142775932552,0.18378549815141101
9,4.578002063786161,73.38843798699072,0.16601778652060808,9.490388824356977,90.49837428787042,0.1643222708429044
10,0.21146938663428486,0.1894272175067811,0.034066476861478144,0.42499563712444877,0.22860241677702192,0.006219122081033036
11,0.30697469682224005,0.26197872391900656,0.03667638311451988,0.2742548000493832,0.0920951508544534,0.0041444545159557405
12,0.21559845036789524,0.1916703612113047,0.03613812144059682,0.36138752401802376,0.16188836138064353,0.004911049156082973
13,0.4221376300183809,0.5914657960342601,0.040195281156543035,0.32965415511840807,0.13838691592532285,0.0044840397778207345
14,0.9964703996457753,1.8679735021764539,0.06674787943377947,0.18483929442573654,0.046194711179134526,0.004553276207755782
15,0.49903033869702174,0.7242862286090473,0.030533448453756017,0.1643291315186992,0.039528144098052116,0.0040282531570826835
16,0.8397276736999649,1.2230420384849112,0.06062207993958788,0.6783118659360754,0.5835684298619309,0.014709038079294983
17,1.210164499927234,2.691882331277955,0.06734347777450542,0.6240474222991201,0.49454726867086807,0.013578740414856889
18,0.3351600988309778,0.3853003946258085,0.026759144663453936,11.64119842707493,145.15948028609705,0.21429845298253775
19,0.5031918251584967,1.0367712106111664,0.029882203249731277,10.908168243450012,124.89084444781659,0.1925296088170149
20,0.48290802810080763,0.33055108326629773,0.06842439769703032,7.773545898392116,79.78485634779193,0.16287029824079471
21,0.9609843343207202,1.0530249884595009,0.1274548139555096,5.596110416391198,33.801860829179226,0.1296950172418578
22,0.7283461218333466,1.1539942215856343,0.0365873698979918,1.1908223657500163,1.7585002507943033,0.023973291657624598
23,2.6035231689858764,11.97475560479155,0.1583243597503676,6.254522430220733,40.07405855567809,0.07592195232536492
24,0.8526962267353615,3.2242085085843026,0.03300838155937276,0.8526962267353615,3.2242085085843026,0.03300838155937276
25,1.0887896397041215,3.4912260787092997,0.036795509987728625,11.698791495710559,152.99304173815744,0.09775133352897966
26,2.128971065163565,7.071313324066143,0.0735166221662236,1.9571768595175307,4.096333229233066,0.017181603697206033
27,1.4131257241397235,4.041391609927459,0.048550512284921056,5.203176646148173,34.369478847230695,0.04628939620125773
28,2.033276721920995,6.202297732060958,0.2147629740092311,0.8852406958981385,0.9742644841633374,0.007934755582852808
29,5.018993177759051,37.64775639576971,0.2556296113630857,1.2530708804744275,1.843957733849776,0.011627896945787924
30,2.2334550592918747,7.66131807522637,0.19370159796230646,0.6798085221079488,1.1194210399091489,0.009249427240919178
31,2.7975071894221877,13.293354263477724,0.17839289316004472,0.826131568779615,1.2220744562512003,0.010993966003021025
32,1.7134949938025414,7.313470090338921,0.18598562750229003,0.16445665359488576,0.03382973994825265,0.0016390025585232262
33,1.8110274327678721,8.977086085224245,0.15524910363845626,1.2374876100992365,1.6416217373320738,0.012547203490448456
34,1.7088150407161193,8.815095788701202,0.14232059206930175,0.22714886412668722,0.06479186895490888,0.0022681259840917696
35,1.795329039562232,6.1869560877788645,0.15790780114145775,1.165286106694385,1.4624371735496573,0.011766431930485021
36,0.5682446163303408,0.7753229888161187,0.0901558659874716,0.40931202343132383,0.3022404756392185,0.006498889217529943
37,0.5682446163303408,0.7753229888161187,0.0901558659874716,1.9246969133558396,4.296269951674854,0.026362583427531942
38,0.7414840041473686,0.8303012650599296,0.07596443090286073,1.1363391891327368,1.6974299526721783,0.037302553589771574
39,0.9407024324958079,1.2140564164413548,0.0905268320076308,1.4616214812722272,2.5464120443479956,0.04762156459468269
40,0.7553896258555065,1.1948280018761306,0.07917361604284903,1.2771604859285381,2.0041377905223334,0.04160386292170435
41,0.722900756823694,0.9809926721517545,0.07827647194843089,1.1037687241381107,1.7234822670686312,0.035096091949332144
42,1.0024755417329883,2.689713772395044,0.05081618423236376,0.46003050702518805,0.268012128350547,0.011336711577195737
43,0.945631266160165,1.9711094133454587,0.05485023364681729,0.4955052515327445,0.3290527086245652,0.011962567774339588
44,0.3222481280102459,0.2737103251677632,0.025054274803415707,0.2585893390490598,0.08856273789695822,0.005774796073903438
45,0.6534566559025796,0.9622709335268768,0.03860674131812494,0.5572788006295268,0.37988334651638633,0.012195742587816236
46,3.1032453554005244,111.21932404616716,0.3305073072158117,0.6626558676648712,0.5159437707521181,0.004803249217296191
47,3.592331848216787,118.2280444614351,0.33780497483034977,0.4601052490186463,0.25754430865404465,0.0030567138192339935
48,2.6966708884108876,106.65500867432503,0.2053160314022888,0.6019156463739976,0.4355003164087038,0.004345863353255027
49,3.610827743856213,123.19430168391085,0.3547119442369532,2.721859415779293,8.460570173250659,0.01815735412353648
50,1.3428803931996913,4.566906001787162,0.07620186721302438,1.7871283322572893,6.160141262346088,0.028959099104635674
51,1.0592378226613461,2.041390246147795,0.0646107855460486,7.064553806971452,65.29797686782898,0.10407648112226357
52,0.4066984506708928,1.4587382842113346,0.03207255195024585,0.5683257513733111,0.6378939517306971,0.009905660339172225
53,0.5182336310197035,1.177943327624649,0.03377749639825243,0.22786565786022234,0.20832013759588827,0.0036474022156986197
54,25.516763994091846,680.8623761271998,0.5603218462419037,0.40750040290568595,0.19714542964705456,0.005697637667726797
55,3.3164954555663657,55.184482922313585,0.12636530368039148,0.7211850224539158,0.6252828008675682,0.010048977369957475
56,3.865931528781055,54.282478067881215,0.14954089134530302,2.5648467183146852,6.695511767171516,0.037198764826122145
57,2.8025219544002353,53.210587753158485,0.13042229559517476,11.51391754211667,148.78507965347498,0.19799125469693676
58,17.38171276996907,315.91079605966746,0.5510096374119611,0.6043929215902517,0.3954321198625091,0.008983940121650115
59,2.817459910231903,59.13070366399617,0.09150856769599505,1.2843562213711344,1.7519949655638207,0.019305826472878117
60,0.5129421668600423,1.0652812080456677,0.03289000313667447,10.791316507609025,123.13763928312618,0.19438017043970798
61,0.48051598626209185,0.9166811319644748,0.03073000071444866,11.085532493226063,132.80326370113383,0.1961531220740633
