device,cpu_smape,mem_smape
0,0.0671618611164006,0.011976232629065546
1,0.06959142786164776,0.04122632854026502
2,0.06627522393109951,0.03770724331003283
3,0.079839289505431,0.03064734053919743
4,0.20070170830810685,0.03942220471870143
5,0.21969645128424045,0.042881652533068214
6,0.3623493032513442,0.01166670956613235
7,0.062435375387313745,0.009332621469392299
8,0.13605366830677246,0.006585308274015003
9,0.16869458673935167,0.010542925328333327
10,0.03379446933878229,0.0696490064127467
11,0.03710151828349905,0.07113318688782515
12,0.0745079994971629,0.0610125573708656
13,0.07761556682343904,0.06057906284430107
14,0.06736803106895696,0.0023988758326694937
15,0.07323003376870894,0.017283824892391914
16,0.05395321200366803,0.006662314409520307
17,0.0720657902602729,0.006616924115170733
18,0.06434737543340512,0.03220957160381017
19,0.037536703627613174,0.019222468242479494
20,0.06703169582734354,0.08215874868323375
21,0.10903497751360607,0.10819143775884503
22,0.21595034695087348,0.012973938732514198
23,0.05046788073772759,0.016370083022965217
24,0.03244652180142678,0.03244668837512155
25,0.07051974803568911,0.05489852260250379
26,0.031547501857419176,0.007746905922471106
27,0.027694802521231847,0.02496895139891877
28,0.2143805410180773,0.011433111072028209
29,0.24064557199963682,0.008722558480299625
30,0.20144856324855318,0.014871815544352117
31,0.17949408777397816,0.015188160510931878
32,0.1574889388399646,0.03339965118372694
33,0.1552879563490308,0.04249105432656761
34,0.1707861048472326,0.039886219613820224
35,0.1531678499331228,0.0438311708960852
36,0.07658362059109479,0.010933958380030168
37,0.07602492848971694,0.06018180916465162
38,0.07400957571971017,0.019256252871888566
39,0.0943006953524601,0.018040514830641424
40,0.0799119210261342,0.016630337467434104
41,0.07630900270942496,0.01928280604193638
42,0.04984498595801893,0.019570171569776935
43,0.03423661956037069,0.008655427690414219
44,0.07831585133238766,0.00751791771863641
45,0.10448158013784414,0.0048116658400959335
46,0.34739202931296864,0.008821699822089411
47,0.3433591098408569,0.006897803596971064
48,0.1902611994362892,0.0047335130343706235
49,0.33586661585558514,0.006134054231482889
50,0.07263143188504101,0.04575657892100354
51,0.05719054859459944,0.12231217758407346
52,0.03762823695707557,0.03476665894809465
53,0.036651819287643606,0.04464612844595431
54,0.1816485638314105,0.0028511767546677436
55,0.17816393849606935,0.0038077541337543843
56,0.19066639520839354,0.005193971135861617
57,0.16971094272238144,0.040898600321455564
58,0.14366579264130636,0.0022896991513307154
59,0.1485064911081436,0.0033264387714588804
60,0.042212728829912866,0.005658213285542458
61,0.07326253994982293,0.032471825314917824
62,0.09923997227000611,0.06651256296862947
63,0.06431769004436974,0.07113624352814579
64,0.38089527746826685,0.03527428654636791
65,0.16616508328443602,0.03078285176561732
66,0.13909130799371783,0.02863214256689179
67,0.03457056961976286,0.0021151496570891385
68,0.1612046304807112,0.030946681915717283
69,0.03481018478701905,0.0015086135115774523
70,0.1712756196778596,0.07154086827212736
71,0.15751300974095123,0.07375580221867489
72,0.17568836336259058,0.07360235914180344
73,0.16710468184621863,0.07157479295376858
74,0.18619296217399528,0.026026095413690643
75,0.24327751568385533,0.024042930720107897
76,0.27958456478945026,0.03574651940570051
77,0.19119605172912402,0.031746569183006834
78,0.09255657111801276,0.020794011618500422
79,0.19085473375887493,0.009508747998823194
80,0.19276089580180436,0.03066921773675184
81,0.03006363157352778,0.014822538738283342
82,0.0700968871498905,0.0037140555433521336
83,0.04326971742610439,0.006168266179430721
84,0.06492452001861526,0.013698233792552651
85,0.04966199686779077,0.013069147817326262
86,0.04904742969205676,0.02784456122428813
87,0.20732569778309767,0.012669672957397885
88,0.04981751280262115,0.01248498722106943
89,0.1911316386630651,0.016758624560519554
90,0.03917674806342661,0.014793621846064246
91,0.03871657843149542,0.01880942533602287
92,0.0641331123273061,0.028735607256688247
93,0.04950880785798229,0.021169926665474216
94,0.027307266431738902,0.024271610093877672
95,0.0367766764116867,0.015840879245165813
96,0.05998560833804151,0.03518483769658126
97,0.03245080214865664,0.025683609729117537
98,0.08464407098782462,0.030983608819000807
99,0.11775948221605599,0.03840373452515044
100,0.030439854472150918,0.031799242115582375
101,0.09704839764304436,0.03201248054604943
102,0.05568770267137278,0.01907575547717806
103,0.04224399274560456,0.030219238342032245
105,0.05073604202832132,0.01830197130485599
106,0.07113912130923981,0.023975079816887807
107,0.054869390956174276,0.015281047655048704
108,0.035854425519070726,0.021884130764084565
109,0.07174471616292072,0.003941510622828384
110,0.3092177909739474,0.152328471146456
111,0.29344904762452134,0.15090986841717752
112,0.31358628124451565,0.15240392532754451
113,0.4225210778437849,0.19739484660168913
114,0.1574770160540259,0.03224077855030182
115,0.18366911128661553,0.028258357768861358
116,0.16903059134729728,0.02802181788253114
117,0.16646376030242188,0.026049807090255627
118,0.03710726846722846,0.03874991715837576
119,0.04748371412190623,0.03019567494674113
120,0.03667353994940552,0.025064343913517733
121,0.04535006260708835,0.03148606953446082
122,0.12546125609189906,0.04239987328897675
123,0.15862037241458893,0.051162382822744205
124,0.13747156612960038,0.06854211942556011
125,0.14229786577195744,0.06065864883091493
126,0.26095397611881826,0.00945846002696133
127,0.15234095474144607,0.005999445238668686
128,0.2578618449492664,0.002286180289955181
129,0.27778170391419016,0.0035928005719200727
130,0.13356158925407202,0.015067717705861775
131,0.16647148141382676,0.002356111039450013
132,0.15721095328454188,0.0004930880791535969
133,0.2705177904805876,0.00033512288643652995
